id	label	type
N0	rocket	translation
N0	rocket	semantic
N1	think+(2h)pass–out_2	translation
N2	female–figure	translation
N3	stuck	translation
N3	stuck	semantic
N3	stuck	syntactic
N4	sweater	translation
N4	sweater	semantic
N4	sweater	syntactic
N4	sweater	systematicity
N5	upside–down	translation
N5	upside–down	semantic
N6	hate	translation
N6	hate	semantic
N6	hate	syntactic
N7	face	translation
N7	face	semantic
N7	face	syntactic
N8	park	translation
N8	park	semantic
N8	park	syntactic
N9	peak–mountain	translation
N10	all–right	translation
N11	nineteen	translation
N11	nineteen	semantic
N12	dinner+box/room	translation
N13	both	translation
N13	both	semantic
N13	both	syntactic
N14	lipread	translation
N14	lipread	syntactic
N14	lipread	semantic
N15	about	translation
N15	about	semantic
N16	any+one_2	translation
N17	red+slice	translation
N18	go–to–it	translation
N19	single	translation
N19	single	semantic
N19	single	syntactic
N20	expensive	translation
N20	expensive	semantic
N20	expensive	syntactic
N21	camp	translation
N21	camp	semantic
N22	nine+hour	translation
N23	become	translation
N23	become	semantic
N23	become	syntactic
N24	#adj	translation
N25	fun	translation
N25	fun	semantic
N25	fun	syntactic
N26	point–to	translation
N27	jaw	translation
N27	jaw	semantic
N28	think+mix–up	translation
N29	(s)old+less–than	translation
N30	#no	translation
N31	ear_2/birthday_2+ear–hurt	translation
N32	five–hours	translation
N33	five	translation
N33	five	semantic
N34	frustrated/thwarted	translation
N35	few/close	translation
N36	service	translation
N36	service	semantic
N37	destroy	translation
N37	destroy	semantic
N37	destroy	syntactic
N38	department	translation
N38	department	semantic
N38	department	syntactic
N39	blind	translation
N39	blind	semantic
N39	blind	syntactic
N40	interrupt	translation
N40	interrupt	semantic
N41	night	translation
N41	night	semantic
N41	night	syntactic
N42	hear/listen	translation
N43	insult	translation
N43	insult	semantic
N43	insult	syntactic
N44	darts	translation
N44	darts	semantic
N45	think+grab–chance	translation
N46	insurance/infection	translation
N47	cent+one_2	translation
N48	leave	translation
N48	leave	semantic
N48	leave	syntactic
N49	gone	translation
N49	gone	semantic
N49	gone	syntactic
N50	get–up	translation
N51	old+four_2	translation
N52	these	translation
N52	these	semantic
N52	these	syntactic
N53	invite/hire	translation
N54	sixty–nine	translation
N54	sixty–nine	semantic
N55	know–nothing	translation
N56	emergency	translation
N56	emergency	semantic
N57	see–see	translation
N58	#fix	translation
N59	homework	translation
N59	homework	semantic
N59	homework	syntactic
N60	girl+correct	translation
N61	cover	translation
N61	cover	semantic
N62	underpants	translation
N62	underpants	semantic
N63	(x)fool/doll	translation
N64	worse	translation
N64	worse	semantic
N64	worse	syntactic
N65	sixth	translation
N65	sixth	semantic
N66	new	translation
N66	new	semantic
N66	new	syntactic
N67	eat+box/room	translation
N68	twice	translation
N68	twice	semantic
N69	#hr	translation
N70	turn+brother	translation
N71	address	translation
N71	address	semantic
N71	address	syntactic
N72	abortion	translation
N72	abortion	semantic
N73	triple	translation
N73	triple	semantic
N73	triple	syntactic
N74	bless	translation
N74	bless	semantic
N74	bless	syntactic
N75	gift	translation
N75	gift	semantic
N75	gift	syntactic
N76	in–three–years	translation
N77	squared	translation
N77	squared	semantic
N78	jellyfish	translation
N78	jellyfish	semantic
N78	jellyfish	syntactic
N79	overhead–projector	translation
N80	class+box/room	translation
